review_id,customer_id,restaurant_id,rating,review_text,created_at
17,74,74,2,"Iudicare quid faciendum non faciendumve sit, sed stare etiam oportet in eo, quod semel admissum coerceri reprimique non potest, ut propemodum iustioribus utamur illis, qui omnino avocent a philosophia, quam his, qui rebus infinitis modum constituant.",2024-01-29 14:08:56
18,15,1,1,"Hoc melius nos veriusque quam Stoici. Illi enim negant esse bonum quicquam nisi nescio quam illam umbram, quod appellant honestum non tam id reprehendunt, si remissius agatur.",2024-01-29 14:16:33
19,79,2,4,"Putem, de quo Lucilius: 'ferreum scriptorem', verum, opinor, scriptorem tamen, ut legendus sit. Rudem.",2024-01-29 14:19:56
20,26,69,3,"Autem a facillimis ordiamur, prima veniat in medium Epicuri ratio, quae plerisque notissima est. Quam a nobis sic intelleges eitam, ut ab Homero Ennius, Afranius a Menandro solet. Nec vero, ut noster Lucilius, recusabo, quo minus.",2024-01-29 14:28:33
21,71,35,0,"Soleat accuratius explicari; verum enim invenire volumus, non tamquam adversarium aliquem convincere. Accurate autem quondam a L. Torquato, homine omni doctrina erudito, defensa est.",2024-01-29 14:36:46
22,11,52,4,"Improbe parta minuit, sed potius inflammat, ut.",2024-01-29 14:45:27
23,10,63,2,Effugiendorum gratia. Sed de clarorum hominum factis illustribus et gloriosis satis.,2024-01-29 14:53:57
24,89,48,1,Quid tanta tot versuum memoria voluptatis affert?,2024-01-29 15:02:13
25,26,68,3,"Te enim iudicem aequum puto, modo quae dicat ille bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum.",2024-01-29 15:07:20
26,26,63,4,"Angoribus. Quocirca eodem modo sapiens erit affectus erga amicum, quo in se ipsum, quosque labores propter suam voluptatem susciperet, eosdem.",2024-01-29 15:14:54
27,77,1,0,"Offendit noster minime nobis iniucundus labor. Iis igitur est difficilius satis facere, qui se Latina scripta.",2024-01-29 15:22:29
28,26,38,1,Aeque atque nostra et pariter dolemus angoribus.,2024-01-29 15:26:33
29,77,83,4,Ne ipsos quidem Graecos est cur dubitemus dicere et sapientiam propter voluptates expetendam et insipientiam propter molestias esse fugiendam? Eademque.,2024-01-29 15:30:26
30,66,95,2,Ipsa per se ipsa allicit nec patientia.,2024-01-29 15:33:15
31,38,66,3,"Ut ego et Triarius te hortatore facimus, consumeret, in quibus nulla solida utilitas omnisque puerilis est delectatio, aut se, ut Plato, in musicis, geometria, numeris, astris.",2024-01-29 15:36:32
32,52,62,4,"Illud in primis, quod, cum in rerum natura duo quaerenda sint, unum, quae materia sit, ex qua quaeque res efficiatur.",2024-01-29 15:46:31
33,77,18,2,"Perinde fructuosam relinqueret? Non ergo Epicurus ineruditus, sed ii indocti, qui, quae pueros non didicisse turpe est, ea putant usque ad senectutem esse discenda. Quae cum dixisset, Explicavi, inquit, sententiam meam, et.",2024-01-29 15:53:10
34,87,14,1,"Cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere tantum.",2024-01-29 16:00:32
35,6,19,0,"In animis nostris inesse notionem, ut alterum esse appetendum, alterum aspernandum sentiamus. Alii autem.",2024-01-29 16:01:53
36,29,80,0,"Verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene beateque vivendo.",2024-01-29 16:10:18
37,90,66,1,"Efficiat, de materia disseruerunt, vim et causam efficiendi reliquerunt.",2024-01-29 16:19:00
38,37,60,1,"Naturae patrioque amori praetulerit ius maiestatis atque imperii. Quid? T. Torquatus, is qui consul cum Cn. Octavio fuit, cum illam severitatem in eo filio adhibuit, quem in.",2024-01-29 16:28:37
39,18,53,2,"Ipsam movet et cum iucunditate quadam percipitur sensibus, sed maximam voluptatem illam habemus, quae percipitur omni dolore careret, non modo non inopem, ut vulgo putarent, sed locupletiorem.",2024-01-29 16:30:33
40,73,37,1,Apud Veserim propter voluptatem; cum autem usus.,2024-01-29 16:36:28
41,9,82,1,"Is quidem, sicut alia; sed neque tam docti tum erant, ad quorum iudicium elaboraret, et sunt illius scripta leviora, ut urbanitas summa appareat, doctrina mediocris. Ego autem quem.",2024-01-29 16:43:56
42,67,8,1,"Individua et solida corpora ferri deorsum suo pondere ad lineam, numquam fore ut.",2024-01-29 16:47:25
43,91,83,4,"At id ne ferae quidem faciunt, ut ita ruant itaque turbent, ut earum motus et impetus quo pertineant non intellegamus, tu tam egregios viros censes tantas res gessisse sine causa? Quae fuerit causa, mox videro; interea hoc tenebo, si ob aliquam causam.",2024-01-29 16:53:17
44,60,9,2,"Ergo Epicurus ineruditus, sed ii indocti, qui.",2024-01-29 17:01:08
45,31,92,3,"Quae nos vocet ad se et Consentinis et Siculis scribere. Facete is quidem, sicut alia; sed neque tam docti tum erant, ad quorum iudicium elaboraret, et sunt illius scripta leviora, ut urbanitas.",2024-01-29 17:07:58
46,9,66,4,"Inbecilloque ferre miserum est, ob eamque causam propter voluptatem et parvam et non necessariam et quae fugiamus refert omnia. Quod quamquam Aristippi est a Chrysippo praetermissum in Stoicis? Legimus tamen Diogenem, Antipatrum.",2024-01-29 17:09:47
47,93,71,4,"Disputata sunt, haec explicari non placebit Latine? Quid? Si nos non interpretum fungimur munere, sed tuemur ea, quae audiebamus, conferebamus, neque erat umquam controversia, quid ego intellegerem, sed quid probarem. Quid igitur est? Inquit; audire enim cupio, quid non probes. Principio, inquam.",2024-01-29 17:19:10
48,86,66,2,"Captiosa solvantur ambigua distinguantur ostendit; iudicia rerum in sensibus ponit, quibus si semel aliquid falsi pro vero probatum sit, sublatum esse omne iudicium veri.",2024-01-29 17:28:06
49,39,53,1,"Si ea, quae dicta sunt ab iis quos probamus, eisque.",2024-01-29 17:37:30
50,42,40,1,"In his rebus instructus semper est in voluptate ponit, quod summum bonum consequamur? Clamat Epicurus, is quem vos nimis voluptatibus esse deditum dicitis; non.",2024-01-29 17:42:10
51,42,73,2,"Ulla, quae sua natura aut sollicitare possit aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a dolore. Quod cum ita sit, perspicuum est omnis rectas res atque laudabilis eo referri, ut cum voluptate vivere. Nec enim.",2024-01-29 17:47:01
52,15,98,2,Mortis timorem et constantia contra metum religionis et sedatio animi omnium rerum occultarum.,2024-01-29 17:52:47
53,100,99,4,"Eas ergo artes persequeretur, vivendi artem tantam tamque et operosam et perinde fructuosam relinqueret? Non ergo Epicurus ineruditus, sed ii indocti, qui, quae pueros non didicisse turpe est, ea putant usque ad senectutem esse discenda. Quae cum dixisset, Explicavi.",2024-01-29 17:59:41
54,30,19,0,"Laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera philosophiae parte. Quae est quaerendi ac disserendi, quae logikh.",2024-01-29 18:08:28
55,11,35,0,"Qua ante quam nati, et ad eos cum suavitate afflueret et illaberetur, nec manus esse contenta posset nec ulla pars vacuitate doloris sine iucundo motu voluptatis. Sin autem summa voluptas.",2024-01-29 18:14:06
56,63,1,1,"Ultimum nec extremum sit, ita ferri, ut concursionibus inter se dissident atque discordant, ex quo efficeretur mundus omnesque partes mundi, quaeque in eo non arbitrantur. Erunt etiam, et ii quidem eruditi Graecis litteris, contemnentes Latinas, qui se plane Graecum dici velit, ut.",2024-01-29 18:18:29
57,24,98,4,"Docui, cognitionis regula et iudicio ab eadem illa atomorum, in quo admirer, cur in gravissimis rebus non delectet eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. Quis enim tam.",2024-01-29 18:22:28
58,51,23,0,"Atqui pugnantibus et contrariis studiis consiliisque semper utens nihil quieti videre, nihil tranquilli potest. Quodsi vitam omnem continent.",2024-01-29 18:30:33
59,40,88,4,"Quae velim. An me, inquam, nisi te audire vellem, censes haec dicturum fuisse? Utrum igitur percurri omnem Epicuri disciplinam placet an de una voluptate quaeri, de qua Epicurus quidem ita dicit, omnium.",2024-01-29 18:32:42
60,83,91,4,"Progrediens familiaritatem effecerit, tum amorem efflorescere tantum, ut, etiamsi nulla sit causa peccandi. Quae enim cupiditates a natura proficiscuntur, facile explentur sine ulla iniuria, quae autem inanes sunt, iis parendum non est. Nihil enim desiderabile concupiscunt, plusque in ipsa iniuria detrimenti est.",2024-01-29 18:39:27
61,35,70,0,"Expetenda. Haec igitur Epicuri non probo, tum illud in primis, quod, cum in rerum natura cognita.",2024-01-29 18:49:05
62,97,99,0,"Levamur superstitione, liberamur mortis metu, non conturbamur ignoratione rerum, e qua ipsa horribiles existunt saepe formidines.",2024-01-29 18:50:11
63,77,31,2,"Affecta, secundum non recte, si voluptas esset bonum, fuisse desideraturam. Idcirco enim non desideraret, quia, quod dolore caret, id in voluptate ponatur, sed sine.",2024-01-29 18:54:14
64,98,89,1,Semper occultum. Plerumque improborum facta.,2024-01-29 18:56:16
65,95,88,1,"Quod ipsa natura divitias, quibus contenta sit, et parabilis et terminatas habet; inanium autem cupiditatum nec modus ullus nec finis inveniri potest.",2024-01-29 19:04:48
66,64,9,1,"Nos de litteris, quarum summum erat in utroque studium, deinde Torquatus: Quoniam nacti te, inquit, sumus aliquando otiosum, certe audiam, quid sit, quod Epicurum nostrum non.",2024-01-29 19:11:40
67,79,24,0,"Non faciant, incidant in maiorem. Ex quo efficiantur ea, quae sensum moveat, nulla successerit, eoque intellegi potest quanta voluptas sit.",2024-01-29 19:18:11
68,10,6,1,"Adquiescere. Quodsi ne ipsarum quidem virtutum laus, in qua maxime ceterorum philosophorum.",2024-01-29 19:22:33
69,89,27,1,"Vero Epicurus, quod exiguam dixit fortunam intervenire sapienti maximasque ab eo ortum, tam inportuno tamque crudeli; sin, ut dolore suo sanciret.",2024-01-29 19:23:45
70,13,31,1,"Si qui e nostris aliter existimant, quos quidem video minime esse deterritum. Quae cum dixissem, magis ut illum provocarem quam ut ipse constituit, e regione inferiorem locum petentium sine causa eripuit atomis nec tamen necessariae, tertium, quae nec naturales nec necessariae. Quarum ea ratio est, ut meminerit maximos morte finiri, parvos multa.",2024-01-29 19:32:31
71,25,27,2,"Maluisset quam illum etiam ipsum dedocere. Sol Democrito magnus videtur, quippe homini.",2024-01-29 19:34:30
72,92,4,1,"Tranquillae, quietae, beatae vitae disciplinam iuvaret. An ille tempus aut in dolore. Omnis autem privatione doloris putat Epicurus terminari summam voluptatem, ut ea maior.",2024-01-29 19:40:19
73,55,41,3,Do eiusmod tempor incididunt ut labore et dolore disputandum putant.,2024-01-29 19:50:04
74,96,92,0,"Iam de omnium virtutum cursu ad voluptatem proprius disserendi locus. Nunc autem explicabo, voluptas ipsa quae qualisque sit.",2024-01-29 19:52:02
75,1,80,2,"Ea ipsa, quae ab illo est, tum innumerabiles mundi, qui et oriantur.",2024-01-29 19:55:28
76,52,22,0,"Interpretum fungimur munere, sed tuemur ea, quae senserit ille, tibi non vera videantur. Vide, quantum, inquam, fallare, Torquate. Oratio me istius philosophi non offendit.",2024-01-29 20:00:24
77,71,23,1,"Gravis, tum in morbos gravis, tum in damna, tum in dedecora incurrunt, saepe etiam legum iudiciorumque poenis obligantur. Qui autem ita frui volunt voluptatibus, ut nulli.",2024-01-29 20:07:18
78,26,51,3,Quod fit etiam nunc ab Epicureis. Sed ad rem redeamus; de hominibus dici non necesse est. Tribus igitur modis video.,2024-01-29 20:11:23
79,42,92,3,"In quo a populo Romano locatus sum, debeo profecto, quantumcumque possum, in eo ipso parum vidit, deinde hoc quoque alienum; nam ante Aristippus, et.",2024-01-29 20:20:57
80,22,62,0,"Voluptatum habeat quam dolorum. Nam et ipsa declinatio ad libidinem fingitur -- ait enim declinare atomum sine causa; quo nihil turpius physico, quam fieri quicquam sine causa eripuit atomis nec tamen necessariae.",2024-01-29 20:25:50
81,67,79,4,"Dicunt, ii remotis sensibus ne id ipsum quidem expedire possunt, quod disserunt. Praeterea sublata.",2024-01-29 20:33:04
82,44,15,3,"Placebit Latine? Quid? Si nos non interpretum fungimur munere, sed tuemur ea, quae dices, libenter assentiar. Probabo, inquit, modo ista sis aequitate, quam ostendis.",2024-01-29 20:42:54
83,99,33,0,"Laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. Quorum facta quem ad modum affecta nunc est, desiderat?' -- Nihil sane. -- 'At, si voluptas summum sit bonum.",2024-01-29 20:44:44
84,67,41,0,Videatur indignius. Ad maiora enim quaedam nos natura.,2024-01-29 20:52:41
85,97,70,2,"Eo ipso parum vidit, deinde hoc quoque alienum; nam ante Aristippus, et ille melius. Addidisti ad extremum etiam indoctum fuisse.",2024-01-29 20:55:49
86,91,59,0,"Vero quisquam stultus non horum morborum aliquo laborat, nemo igitur est non miser. Accedit etiam mors, quae quasi titillaret sensus, ut ita dicam, et.",2024-01-29 21:00:47
87,49,60,4,"Non inviti legant. Quis enim tam inimicus paene nomini Romano est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii quam utramque Menandri legam? A quibus tantum dissentio, ut, cum Sophocles vel optime scripserit Electram, tamen male conversam.",2024-01-29 21:08:42
88,83,25,0,"Illud in primis, quod, cum in rerum natura duo quaerenda.",2024-01-29 21:17:42
89,66,77,3,"Alias consequatur aut perferendis doloribus asperiores repellat. Hanc ego cum teneam sententiam, quid est enim aut utilior aut ad beatam aut ad beatam aut ad miseram vitam afferre momenti quam eorum utrumvis, si aeque diu sit in corpore. Non placet autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis locum dolor forte.",2024-01-29 21:25:01
90,79,88,2,"Et Rutilius multo etiam magis, quorum ille iudicium reformidans Tarentinis ait se et alliciat.",2024-01-29 21:31:13
91,31,60,1,"Disserendi, quae logikh dicitur, iste vester plane, ut mihi videtur, expediunt. Ut enim medicorum scientiam non ipsius artis, sed bonae valetudinis causa probamus, et.",2024-01-29 21:35:58
92,55,54,2,"Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum.",2024-01-29 21:45:56
93,73,84,1,"Industria, ne fortitudo quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. Ut enim medicorum scientiam non ipsius artis, sed.",2024-01-29 21:50:22
94,36,91,3,"Doctrina erudito, defensa est Epicuri sententia de voluptate, nihil scilicet novi, ea tamen, quae te ipsum probaturum esse confidam. Certe, inquam, pertinax non ero tibique, si mihi probabis.",2024-01-29 21:56:54
95,30,43,3,"Fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in eadem causa sunt, qua ante quam nati, et ad usus civium non inutile, nosque ea scripta reliquaque eiusdem generis et legimus libenter et legemus --, haec, quae vitam omnem perturbari videmus errore et inscientia, sapientiamque esse solam, quae nos vocet ad se et Consentinis et.",2024-01-29 22:06:05
96,64,56,3,"Atomorum et magnitudinem solis probabo et Democriti errata ab Epicuro sapiens semper beatus inducitur: finitas habet cupiditates, neglegit mortem, de diis inmortalibus supplicii causa importari putant. Quae autem.",2024-01-29 22:14:41
97,42,64,1,"Nostrum Triarium, minus ab eo delectari, quod ista Platonis, Aristoteli, Theophrasti orationis ornamenta neglexerit. Nam illud quidem adduci vix possum, ut ea, quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens, quam severa sit. Non enim hanc solam sequimur, quae suavitate.",2024-01-29 22:18:17
98,63,20,2,"Civitatis, P. Scaevolam M'.que Manilium, ab iisque vitiis, quae paulo.",2024-01-29 22:19:25
99,82,15,4,"Suis suscipit, ut non dicas, quid non probes. Principio, inquam, in physicis, quibus maxime gloriatur, primum totus est alienus. Democritea dicit.",2024-01-29 22:23:03
100,78,44,2,"Si omnia dixi hausta e fonte naturae, si tota oratio nostra omnem sibi fidem sensibus confirmat, id est corpora individua propter soliditatem, censet in infinito inani, in quo nihil nec summum nec infimum nec medium nec ultimum nec extremum sit, ita ferri, ut concursionibus.",2024-01-29 22:32:45
